custom_swim  | (xfsettingsd:139): libupower-glib-CRITICAL **: up_client_get_lid_is_closed: assertion 'UP_IS_CLIENT (client)' failed
custom_swim  | 
custom_swim  | (xfsettingsd:139): GLib-GObject-WARNING **: invalid (NULL) pointer instance
custom_swim  | 
custom_swim  | (xfsettingsd:139): GLib-GObject-CRITICAL **: g_signal_connect_data: assertion 'G_TYPE_CHECK_INSTANCE (instance)' failed
custom_swim  | 
custom_swim  | (xfdesktop:126): GVFS-RemoteVolumeMonitor-WARNING **: remote volume monitor with dbus name org.gtk.vfs.UDisks2VolumeMonitor is not supported
custom_swim  | 
custom_swim  | (xfce4-session:81): xfce4-session-WARNING **: failed to run script: Failed to execute child process "/usr/bin/pm-is-supported" (No such file or directory)
custom_swim  | 
custom_swim  | (xfce4-session:81): xfce4-session-WARNING **: failed to run script: Failed to execute child process "/usr/bin/pm-is-supported" (No such file or directory)
custom_swim  | /usr/bin/startxfce4: X server already running on display :1
custom_swim  | 
custom_swim  | 
custom_swim  | ------------------ VNC environment started ------------------
custom_swim  | 
custom_swim  | VNCSERVER started on DISPLAY= :1 
custom_swim  | 	=> connect via VNC viewer with 172.19.0.2:5901
custom_swim  | 
custom_swim  | noVNC HTML client started:
custom_swim  | 	=> connect via http://172.19.0.2:6901/?password=...
custom_swim  | 
custom_swim  | 
custom_swim  | 
custom_swim  | ------------------ EXECUTE COMMAND ------------------
custom_swim  | Executing command: '/bin/sh -c ./run.sh sim 1'
custom_swim  | ../../src//swim swim.ini -u Cmdenv -c sim -n ..:../../src/:../../../queueinglib:../../src -lqueueinglib -s --cmdenv-redirect-output=true -r 1
custom_swim  | sim run 1: $trace="traces/scenario.delta", $latency=0, $repetition=0
custom_swim  | t=0 addServer() complete
custom_swim  | t=0 addServer() complete
custom_swim  | t=0 addServer() complete
manager      | 2025-10-27 22:14:03,106 - INFO - Connected to swim in custom_swim:4242
manager      | 2025-10-27 22:14:03,107 - INFO - Iniciando loop de adaptação automática...
manager      | 2025-10-27 22:14:03,107 - INFO - KB Metrics: Knowledge(ADAPTATION_GOALS={'threshold_response_time': 0.1}, History=[{}], Constraints={'dimmer'= [0.0, 1.0], 'servers'= [1, 20], 'add_server'= {'active_servers'= 'servers'}, 'remove_server'= {'active_servers'= 'servers'}}), Last_update={'active_servers': 3, 'arrival_rate': 42.7403, 'basic_rt': 0.0172003, 'basic_throughput': 4.39933, 'dimmer': 0.9, 'opt_rt': 0.330388, 'opt_throughput': 28.908, 'servers': 3, 'activating_server': False, 'server_ult': {'server_1_ult': '0.00261092', 'server_2_ult': '0.00254936', 'server_3_ult': '0.00254646'}})
manager      | 2025-10-27 22:14:03,108 - INFO - RT=0.02s | Active servers=3 | Dimmer=0.90 | arrival=42.72 req/s | Total servers=3
manager      | 2025-10-27 22:14:03,108 - INFO - Diagnosis: decrease_servers
manager      | 2025-10-27 22:14:03,108 - INFO - Action plan: {'decrease_servers_plan': {'entry': 'decrease_servers', 'action': ['remove_server'], 'reason': 'System underutilized; can remove a server to optimize resources.'}}
custom_swim  | t=1.592338 executing removeServer()
manager      | 2025-10-27 22:14:03,108 - INFO - Result: ok
custom_swim  | scheduled complete remove at 1.753280828401
manager      | 2025-10-27 22:14:29,134 - INFO - KB Metrics: Knowledge(ADAPTATION_GOALS={'threshold_response_time': 0.1}, History=[{}, {'active_servers': 3, 'arrival_rate': 42.7235, 'basic_rt': 0.0172003, 'basic_throughput': 4.39768, 'dimmer': 0.9, 'opt_rt': 0.330388, 'opt_throughput': 28.897, 'servers': 3, 'activating_server': False, 'server_ult': {'server_1_ult': '0.00261194', 'server_2_ult': '0.00255038', 'server_3_ult': '0.00254748'}, 'diagnosis': 'decrease_servers', 'plan': {'decrease_servers_plan': {'entry': 'decrease_servers', 'action': ['remove_server'], 'reason': 'System underutilized; can remove a server to optimize resources.'}}}], Constraints={'dimmer'= [0.0, 1.0], 'servers'= [1, 20], 'add_server'= {'active_servers'= 'servers'}, 'remove_server'= {'active_servers'= 'servers'}}), Last_update={'active_servers': 3, 'arrival_rate': 42.7235, 'basic_rt': 0.0172003, 'basic_throughput': 4.39768, 'dimmer': 0.9, 'opt_rt': 0.330388, 'opt_throughput': 28.897, 'servers': 3, 'activating_server': False, 'server_ult': {'server_1_ult': '0.00261194', 'server_2_ult': '0.00255038', 'server_3_ult': '0.00254748'}, 'diagnosis': 'decrease_servers', 'plan': {'decrease_servers_plan': {'entry': 'decrease_servers', 'action': ['remove_server'], 'reason': 'System underutilized; can remove a server to optimize resources.'}}})
manager      | 2025-10-27 22:14:29,135 - INFO - RT=3.31s | Active servers=2 | Dimmer=0.90 | arrival=48.95 req/s | Total servers=2
manager      | 2025-10-27 22:14:29,136 - INFO - Diagnosis: increase_servers
manager      | 2025-10-27 22:14:29,136 - INFO - Action plan: {'increase_servers_plan': {'entry': 'increase_servers', 'action': ['add_server'], 'reason': 'System overloaded; more servers may be needed to reduce response time.'}}
custom_swim  | t=27.620161 executing addServer()
custom_swim  | adding server with latency=0
custom_swim  | t=27.620161 addServer() complete
